Feature Id	Gene Symbol	Uni Gene Id	Gene Id	Accession Id	Ref Seq Protein Id	Ref Seq Transcript Id
243629_x_at	MFI2-AS1					
243628_at	COPS7B					
243624_at	PIAS2					
243623_at	SLC1A7					
243622_at	LOC145694					
243621_at	SPACA3					
243619_at	FGFR1OP2					
243618_s_at	ZNF827					
243617_at	ZNF827					
243614_s_at	PRODH2					
243613_at	DENND5B					
243612_at	NSD1					
243611_at	MICALCL					
243610_at	C9orf135					
243608_at	COG2					
243606_at	NXPE3					
243602_at	MGC40069					
243601_at	LOC285957					
243600_at	TPGS1					
243597_at	FANCB					
243595_at	SHB					
243594_x_at	SPIRE2					
243592_at	REV1					
243589_at	KANSL1					
243585_at	ATP13A5					
243582_at	SH3RF2					
243580_at	GNA14					
243579_at	MSI2					
243575_at	MAST4					
243570_at	SPCS2					
243569_at	TMEM174					
243565_at	CCDC150					
243564_at	PDE1C					
243562_at	KNG1					
243556_at	NGEF					
243553_x_at	TRAF3IP2-AS1					
243552_at	MBTD1					
243550_at	ZDHHC21					
243544_at	ADH1B					
243542_at	PREPL					
243541_at	IL31RA					
243539_at	KIAA1841					
243536_x_at	ARHGAP27					
243534_at	CC2D2B					
243532_at	LNPEP					
243531_at	ORAOV1					
243529_at	MARS2					
243526_at	WDR86					
243523_at	LOC100128644					
243521_at	ZXDA					
243520_x_at	ADAM30					
243519_at	UBE3C					
243514_at	WDFY2					
243511_at	HEXA					
243508_at	C20orf196					
243507_s_at	C20orf196					
243506_at	AKAIN1					
243505_at	MAP3K3					
243504_at	TRDMT1					
243502_at	GJC1					
243501_at	ATP5F1					
243384_at	LINC00280					
243382_at	CCDC85A					
243376_at	TANK					
243372_at	HSPD1					
243370_at	CAPRIN1					
243365_s_at	AUTS2					
243364_at	AUTS2					
243363_at	LEF1-AS1					
243362_s_at	LEF1-AS1					
243361_at	SREK1					
243358_at	IGF1R					
243357_at	NEGR1					
243355_at	DARS-AS1					
243352_at	ALPK1					
243351_at	FZD10-AS1					
243349_at	KIAA1324					
243346_at	LMOD3					
243345_at	RNF14					
243338_at	CSNK1A1					
243337_at	FREM3					
243335_at	P4HA1					
243334_at	CACNA1D					
243324_x_at	TNPO1					
243323_s_at	ZFHX3					
243318_at	DCAF8					
243316_x_at	VPS26A					
243313_at	SYNPO2L					
243312_at	ZNF107					
243311_at	DEFB132					
243309_at	C15orf65					
243306_s_at	GCC1					
243304_at	CASC7					
243301_at	COL22A1					
243296_at	NAMPT					
243295_at	RBM27					
243294_at	ZNF780B					
243292_at	FAM132A					
243290_at	WWC1					
243288_at	SMYD2					
243287_s_at	OSTM1					
243285_at	LOC283335					
243284_at	AAGAB					
243283_at	CROT					
243282_at	CCDC93					
243278_at	FOXP2					
243277_x_at	MECOM					
243276_at	ALS2CL					
243272_at	LOC101593348					
243270_at	FAM205A					
243268_at	PATE2					
243265_at	GAD2					
243263_at	LINC00482					
243261_at	LINC00689					
243260_x_at	XKR6					
243259_at	ATXN7					
243258_at	CLUH					
243256_at	MKNK1					
243254_at	HIVEP2					
243251_at	LOC101929719					
243245_at	LOC100506446					
243244_at	CACNB4					
243243_at	GPC3					
243239_at	SAMM50					
243238_at	PYGB					
243237_at	CFAP221					
243234_at	TBX3					
243231_at	SLC38A11					
243228_at	GTF3C4					
243225_at	FGF14-AS2					
243224_at	LOC100506302					
243222_at	ALPK1					
243221_at	FAM20A					
243219_x_at	MRPL50					
243214_at	ZBTB46					
243213_at	STAT3					
243209_at	KCNQ4					
243208_x_at	ACTL9					
243206_at	CEP95					
243204_at	LOC102725022					
243202_at	FAM102B					
243201_at	RPL36A					
244138_at	LOC101929154					
244137_at	AREL1					
244136_at	MIR670HG					
244135_at	LOC101929229					
